id,key,value,type
3130703,bicycle,no,regular
3130703,highway,motorway_link,regular
3130703,oneway,yes,regular
3310134,highway,residential,regular
3310134,oneway,yes,regular
3783997,highway,residential,regular
3783997,name,Avenue 23,regular
3783997,odbl,clean,regular
3783997,source,usgs_imagery;survey;image,regular
3783997,source_ref,AM909_DSCV1658,regular
3980191,highway,residential,regular
3980191,name,Amherst Drive,regular
4055896,bridge,yes,regular
4055896,highway,motorway_link,regular
4055896,layer,1,regular
4055896,odbl,clean,regular
4055896,oneway,yes,regular
4055896,source,usgs_imagery;survey;image;CDOT,regular
4055896,source_ref,AM909_DSCV3549,regular
4169391,hgv,designated,regular
4169391,highway,motorway,regular
4169391,hov,lane,regular
4169391,lanes,5,regular
4169391,name,San Diego Freeway,regular
4169391,lanes,left lane is hov,note
4169391,oneway,yes,regular
4169391,ref,I 405,regular
4271740,hgv,designated,regular
4271740,national_network,terminal_access,hgv
4271740,highway,primary,regular
4271740,lanes,3,regular
4271740,maxspeed,40 mph,regular
4271740,name,Newport Boulevard,regular
4271740,legislative,43,old_ref
4271740,oneway,yes,regular
4271740,ref,CA 55,regular
4271740,source,survey;image;usgs_imagery,regular
4271740,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
4271740,maxspeed,survey;image,source
4271740,source_ref,AM909_DSCU4168;AM909_DSCU4169,regular
4271740,maxspeed,AM909_DSCU4176,source_ref
4271740,county,"Orange, CA",tiger
4271740,name_base,Newport,tiger
4271740,name_type,Blvd,tiger
4308445,highway,residential,regular
4308445,name,Rodgerton Drive,regular
4308445,odbl,clean,regular
4308445,source,usgs_imagery,regular
4323774,highway,path,regular
4341243,abutters,commercial,regular
4341243,created_by,YahooApplet 1.0,regular
4341243,highway,unclassified,regular
4376174,highway,residential,regular
4387641,highway,residential,regular
4387641,name,Freeman Avenue,regular
4397287,highway,residential,regular
4397287,name,El Reposo Drive,regular
4397287,source,TIGER 2012,regular
4446423,bridge,yes,regular
4446423,highway,secondary,regular
4446423,layer,1,regular
4446423,name,Central Avenue,regular
4497076,highway,tertiary,regular
4581194,highway,motorway_link,regular
4581194,oneway,yes,regular
4630312,highway,secondary,regular
4630312,name,Kester Avenue,regular
4630312,source,Yahoo,regular
4630312,highway,NavigateLA,source
4630312,cfcc,A41,tiger
4630312,county,"Los Angeles, CA",tiger
4630312,name_base,Kester,tiger
4630312,name_type,Ave,tiger
4630312,reviewed,no,tiger
4630312,zip_left,91405,tiger
4630312,zip_right,91405,tiger
4883427,natural,coastline,regular
4883427,odbl,clean,regular
4883427,note,all nodes clean,odbl
4883427,source,Yahoo Imagery,regular
4931115,highway,motorway_link,regular
4931115,oneway,yes,regular
5066420,bicycle,no,regular
5066420,foot,no,regular
5066420,hgv,designated,regular
5066420,highway,motorway,regular
5066420,horse,no,regular
5066420,lanes,3,regular
5066420,maxspeed,65 mph,regular
5066420,hgv,55 mph,maxspeed
5066420,trailer,55 mph,maxspeed
5066420,name,Foothill Freeway,regular
5066420,oneway,yes,regular
5066420,ref,I 210,regular
5066420,sidewalk,none,regular
5066420,source,usgs_imagery_2006,regular
5191423,bicycle,no,regular
5191423,hgv,designated,regular
5191423,national_network,terminal_access,hgv
5191423,highway,motorway,regular
5191423,lanes,4,regular
5191423,oneway,yes,regular
5191423,ref,CA 91,regular
5191423,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5363482,highway,residential,regular
5363482,name,North Park Drive,regular
5938692,access,private,regular
5938692,highway,service,regular
5938692,cfcc,A74,tiger
5938692,county,"San Diego, CA",tiger
5938692,reviewed,no,tiger
5938692,source,tiger_import_dch_v0.6_20070809,tiger
5938692,tlid,195714026:195714027,tiger
5938692,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5939206,bicycle,no,regular
5939206,highway,motorway_link,regular
5939206,oneway,yes,regular
5939206,source,yahoo_imagery;survey;image,regular
5939206,source_ref,AM909_DSCU2633,regular
5939206,cfcc,A63,tiger
5939206,county,"San Diego, CA",tiger
5939206,source,tiger_import_dch_v0.6_20070809,tiger
5939206,tlid,195750228,tiger
5939206,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5939661,access,private,regular
5939661,highway,service,regular
5939661,cfcc,A74,tiger
5939661,county,"San Diego, CA",tiger
5939661,reviewed,no,tiger
5939661,source,tiger_import_dch_v0.6_20070809,tiger
5939661,tlid,195715311:195715314:195715308,tiger
5939661,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5940057,access,private,regular
5940057,highway,service,regular
5940057,cfcc,A74,tiger
5940057,county,"San Diego, CA",tiger
5940057,reviewed,no,tiger
5940057,source,tiger_import_dch_v0.6_20070809,tiger
5940057,tlid,195703148:195703153:195703154,tiger
5940057,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5940548,access,private,regular
5940548,highway,service,regular
5940548,cfcc,A74,tiger
5940548,county,"San Diego, CA",tiger
5940548,reviewed,no,tiger
5940548,source,tiger_import_dch_v0.6_20070809,tiger
5940548,tlid,195743201:195702497,tiger
5940548,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5941017,access,private,regular
5941017,highway,track,regular
5941017,cfcc,A74,tiger
5941017,county,"San Diego, CA",tiger
5941017,source,tiger_import_dch_v0.6_20070809,tiger
5941017,tlid,195715325:195715328,tiger
5941017,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5941017,tracktype,grade4,regular
5941559,access,private,regular
5941559,highway,service,regular
5941559,cfcc,A74,tiger
5941559,county,"San Diego, CA",tiger
5941559,reviewed,no,tiger
5941559,source,tiger_import_dch_v0.6_20070809,tiger
5941559,tlid,195743002,tiger
5941559,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5941932,access,private,regular
5941932,highway,service,regular
5941932,cfcc,A74,tiger
5941932,county,"San Diego, CA",tiger
5941932,reviewed,no,tiger
5941932,source,tiger_import_dch_v0.6_20070809,tiger
5941932,tlid,195714770:195714761:195714763:195714764:195714771:195714774:195714778:195714751:195714752:195714753:195714768:195714759:195714784:195714705,tiger
5941932,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5942429,access,private,regular
5942429,highway,service,regular
5942429,source,bing_imagery_0.25m_201005,regular
5942429,cfcc,A74,tiger
5942429,county,"San Diego, CA",tiger
5942429,source,tiger_import_dch_v0.6_20070809,tiger
5942429,tlid,195715337:195715338:195753556,tiger
5942429,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5942983,highway,residential,regular
5942983,cfcc,A41,tiger
5942983,county,"San Diego, CA",tiger
5942983,reviewed,no,tiger
5942983,separated,no,tiger
5942983,source,tiger_import_dch_v0.6_20070809,tiger
5942983,tlid,195742819,tiger
5942983,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5943437,highway,residential,regular
5943437,cfcc,A41,tiger
5943437,county,"San Diego, CA",tiger
5943437,reviewed,no,tiger
5943437,separated,no,tiger
5943437,source,tiger_import_dch_v0.6_20070809,tiger
5943437,tlid,195412478,tiger
5943437,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5943805,access,private,regular
5943805,highway,service,regular
5943805,cfcc,A74,tiger
5943805,county,"San Diego, CA",tiger
5943805,reviewed,no,tiger
5943805,source,tiger_import_dch_v0.6_20070809,tiger
5943805,tlid,195713340:195713341,tiger
5943805,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5944341,access,private,regular
5944341,highway,service,regular
5944341,cfcc,A74,tiger
5944341,county,"San Diego, CA",tiger
5944341,reviewed,no,tiger
5944341,source,tiger_import_dch_v0.6_20070809,tiger
5944341,tlid,195753409,tiger
5944341,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5945249,access,private,regular
5945249,highway,service,regular
5945249,cfcc,A74,tiger
5945249,county,"San Diego, CA",tiger
